ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
149,Mara Katherine Abbott,F,30.0,163.0,52.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Cycling,"[""Cycling Women's Road Race, Individual""]",[nan]
811,Natalie Cammile Adams (-Brannan),F,24.0,173.0,65.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Swimming,"[""Swimming Women's 200 metres Butterfly""]",[nan]
837,Rachael Alexis Adams,F,26.0,188.0,81.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Volleyball,"[""Volleyball Women's Volleyball""]",['Bronze']
961,"Bradley Don ""Brad"" Adkins",M,22.0,188.0,80.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Athletics,"[""Athletics Men's High Jump""]",[nan]
1017,Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Swimming,"[""Swimming Men's 100 metres Freestyle"", ""Swimming Men's 4 x 100 metres Medley Relay"", ""Swimming Men's 50 metres Freestyle"", ""Swimming Men's 4 x 100 metres Freestyle Relay""]","['Bronze', 'Gold']"
1453,Nicole Ahsinger,F,18.0,163.0,58.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Trampolining,"[""Trampolining Women's Individual""]",[nan]
1682,Morolake Akinosun,F,22.0,163.0,61.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Athletics,"[""Athletics Women's 4 x 100 metres Relay""]",['Gold']
1683,Foluke Antinuke Akinradewo,F,28.0,191.0,79.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Volleyball,"[""Volleyball Women's Volleyball""]",['Bronze']
1730,Monica Aksamit,F,26.0,183.0,74.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Fencing,"[""Fencing Women's Sabre, Team""]",['Bronze']
2695,Nia Sifaatihii Ali,F,27.0,170.0,65.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Athletics,"[""Athletics Women's 100 metres Hurdles""]",['Silver']
2838,Devon Allen,M,21.0,185.0,84.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Athletics,"[""Athletics Men's 110 metres Hurdles""]",[nan]
3141,Anita Alvarez,F,19.0,170.0,52.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Synchronized Swimming,"[""Synchronized Swimming Women's Duet""]",[nan]
3820,Haley Danita Anderson,F,24.0,178.0,68.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Swimming,"[""Swimming Women's 10 kilometres Open Water""]",[nan]
3845,"Matthew John ""Matt"" Anderson",M,29.0,202.0,100.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Volleyball,"[""Volleyball Men's Volleyball""]",['Bronze']
4159,"Robert Adrian ""Robby"" Andrews",M,25.0,178.0,66.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Athletics,"[""Athletics Men's 1,500 metres""]",[nan]
4505,Carmelo Kyan Anthony,M,32.0,203.0,109.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Basketball,"[""Basketball Men's Basketball""]",['Gold']
5167,Kristin Ann Armstrong (-Savola),F,42.0,173.0,58.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Cycling,"[""Cycling Women's Road Race, Individual"", ""Cycling Women's Individual Time Trial""]","[nan, 'Gold']"
5372,Jenny Lyvette Arthur,F,22.0,166.0,74.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Weightlifting,"[""Weightlifting Women's Heavyweight""]",[nan]
5523,Ronnie Ash,M,28.0,188.0,95.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Athletics,"[""Athletics Men's 110 metres Hurdles""]",[nan]
5560,Whitney Jordan Ashley,F,27.0,178.0,91.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Athletics,"[""Athletics Women's Discus Throw""]",[nan]
