ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,EventMedal
149,Mara Katherine Abbott,Female,30.0,163.0,52.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"['Road Race, Individual']",['Did Not Place'],"Road Race, Individual: Did Not Place"
811,Natalie Cammile Adams (-Brannan),Female,24.0,173.0,65.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,['200 metres Butterfly'],['Did Not Place'],200 metres Butterfly: Did Not Place
837,Rachael Alexis Adams,Female,26.0,188.0,81.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,['Volleyball'],['Bronze'],Volleyball: Bronze
961,"Bradley Don ""Brad"" Adkins",Male,22.0,188.0,80.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,['High Jump'],['Did Not Place'],High Jump: Did Not Place
1017,Nathan Ghar-Jun Adrian,Male,27.0,198.0,100.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,"['4 x 100 metres Medley Relay', '4 x 100 metres Freestyle Relay', '50 metres Freestyle', '100 metres Freestyle']","['Bronze', 'Gold']",4 x 100 metres Freestyle Relay: Gold; 100 metres Freestyle: Bronze; 4 x 100 metres Medley Relay: Gold; 50 metres Freestyle: Bronze
1453,Nicole Ahsinger,Female,18.0,163.0,58.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Trampolining,['Individual'],['Did Not Place'],Individual: Did Not Place
1682,Morolake Akinosun,Female,22.0,163.0,61.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,['4 x 100 metres Relay'],['Gold'],4 x 100 metres Relay: Gold
1683,Foluke Antinuke Akinradewo,Female,28.0,191.0,79.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,['Volleyball'],['Bronze'],Volleyball: Bronze
1730,Monica Aksamit,Female,26.0,183.0,74.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"['Sabre, Team']",['Bronze'],"Sabre, Team: Bronze"
2695,Nia Sifaatihii Ali,Female,27.0,170.0,65.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,['100 metres Hurdles'],['Silver'],100 metres Hurdles: Silver
2838,Devon Allen,Male,21.0,185.0,84.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,['110 metres Hurdles'],['Did Not Place'],110 metres Hurdles: Did Not Place
3141,Anita Alvarez,Female,19.0,170.0,52.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Synchronized Swimming,['Duet'],['Did Not Place'],Duet: Did Not Place
3820,Haley Danita Anderson,Female,24.0,178.0,68.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,['10 kilometres Open Water'],['Did Not Place'],10 kilometres Open Water: Did Not Place
3845,"Matthew John ""Matt"" Anderson",Male,29.0,202.0,100.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,['Volleyball'],['Bronze'],Volleyball: Bronze
4159,"Robert Adrian ""Robby"" Andrews",Male,25.0,178.0,66.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"['1,500 metres']",['Did Not Place'],"1,500 metres: Did Not Place"
4505,Carmelo Kyan Anthony,Male,32.0,203.0,109.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,['Basketball'],['Gold'],Basketball: Gold
5167,Kristin Ann Armstrong (-Savola),Female,42.0,173.0,58.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"['Individual Time Trial', 'Road Race, Individual']","['Did Not Place', 'Gold']","Individual Time Trial: Gold; Road Race, Individual: Did Not Place"
5372,Jenny Lyvette Arthur,Female,22.0,166.0,74.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,['Heavyweight'],['Did Not Place'],Heavyweight: Did Not Place
5523,Ronnie Ash,Male,28.0,188.0,95.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,['110 metres Hurdles'],['Did Not Place'],110 metres Hurdles: Did Not Place
5560,Whitney Jordan Ashley,Female,27.0,178.0,91.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,['Discus Throw'],['Did Not Place'],Discus Throw: Did Not Place
5943,Haley Ruth Augello,Female,21.0,157.0,54.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"['Flyweight, Freestyle']",['Did Not Place'],"Flyweight, Freestyle: Did Not Place"
5971,Seimone Delicia Augustus,Female,32.0,183.0,74.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,['Basketball'],['Gold'],Basketball: Gold
